price,surface,rooms,governorate,property_type
485760.0,147.0,3,Sousse,Appart
306000.0,113.0,2,Sousse,Appart
170000.0,64.0,1,Ariana,Appart
1200000.0,493.0,2,Ariana,House
830000.0,166.0,3,Tunis,Appart
829000.0,143.0,2,Tunis,Appart
410000.0,120.0,2,Tunis,Appart
490000.0,160.0,3,Nabeul,Appart
780000.0,183.0,3,Nabeul,House
850000.0,530.0,4,Nabeul,House
330000.0,220.0,4,Nabeul,House
270000.0,107.0,2,Ariana,Appart
180000.0,150.0,4,Ben Arous,Appart
900000.0,320.0,6,Ben Arous,House
380000.0,171.0,4,Ariana,Appart
200000.0,117.0,4,Tunis,Appart
300000.0,225.0,3,Nabeul,House
580000.0,200.0,2,Tunis,Appart
588000.0,140.0,3,Sousse,Appart
150000.0,68.0,2,Kairouan,Appart
480000.0,280.0,3,Kairouan,House
230000.0,200.0,5,Kairouan,House
800000.0,200.0,3,Ariana,Appart
183000.0,53.0,1,Tunis,Appart
540000.0,207.0,4,Tunis,Appart
190000.0,52.0,1,Nabeul,Appart
1700000.0,206.0,3,Tunis,Appart
690000.0,130.0,2,Tunis,Appart
365000.0,63.0,1,Tunis,Appart
575000.0,174.0,3,Ariana,Appart
4000000.0,500.0,5,Tunis,House
820000.0,140.0,2,Tunis,Appart
458000.0,139.0,3,Ariana,Appart
440000.0,150.0,4,Ariana,Appart
230000.0,55.0,1,Nabeul,Appart
750000.0,250.0,3,Ariana,House
255000.0,61.0,1,Nabeul,Appart
370000.0,200.0,2,Nabeul,House
980000.0,221.0,4,Nabeul,House
690000.0,250.0,3,Nabeul,House
750000.0,174.0,4,Nabeul,House
470000.0,350.0,3,Nabeul,House
380000.0,97.0,2,Tunis,Appart
385000.0,140.0,2,Tunis,Appart
1100000.0,1012.0,3,Nabeul,House
750000.0,230.0,3,Nabeul,House
950000.0,460.0,4,Nabeul,House
680000.0,130.0,3,Nabeul,Appart
285000.0,57.0,1,Nabeul,Appart
360000.0,116.0,2,Nabeul,Appart
490000.0,145.0,3,Nabeul,House
1189000.0,205.0,3,Tunis,Appart
415000.0,72.0,1,Tunis,Appart
379000.0,110.0,2,Tunis,Appart
388000.0,119.0,2,Tunis,Appart
370000.0,100.0,2,Ariana,Appart
399900.0,180.0,3,Ariana,Appart
1950000.0,4650.0,6,Ariana,House
155000.0,133.0,2,Nabeul,House
650000.0,93.0,3,Tunis,Appart
760000.0,179.0,3,Nabeul,House
2300000.0,580.0,6,Nabeul,House
380000.0,110.0,2,Nabeul,Appart
396000.0,120.0,2,Ariana,Appart
750000.0,250.0,4,Nabeul,House
920000.0,325.0,4,Nabeul,House
750000.0,220.0,3,Nabeul,House
295000.0,100.0,2,Ariana,Appart
268000.0,125.0,3,Ariana,Appart
225000.0,59.0,1,Ariana,Appart
499900.0,180.0,3,Tunis,Appart
100000.0,70.0,1,Kairouan,Appart
3800000.0,700.0,6,Ariana,House
2300000.0,250.0,4,Ariana,House
2000000.0,450.0,5,Ariana,House
1500000.0,600.0,6,Ariana,House
330000.0,118.0,3,Tunis,Appart
2500000.0,547.0,5,Ariana,House
1200000.0,300.0,6,Ariana,House
1500000.0,500.0,6,Ariana,House
550000.0,250.0,3,Sousse,Appart
4200000.0,1200.0,8,Monastir,House
5000000.0,1450.0,5,Monastir,House
360000.0,109.0,2,Sousse,Appart
760000.0,746.0,4,Nabeul,House
950000.0,905.0,3,Tunis,House
255000.0,120.0,3,Ariana,Appart
315000.0,126.0,3,Manouba,Appart
525000.0,120.0,3,Tunis,Appart
645000.0,450.0,4,Nabeul,House
240000.0,120.0,4,Kairouan,House
990000.0,232.0,3,Tunis,Appart
