price,surface,rooms,governorate,property_type,log_price,log_surface
310000.0,150.0,3,Monastir,Appart,12.644330802262578,5.017279836814924
621626.0,150.0,3,Sousse,Appart,13.340095513385682,5.017279836814924
605561.0,148.0,3,Sousse,Appart,13.313912231448414,5.003946305945459
620152.0,132.0,2,Sousse,Appart,13.33772150077108,4.890349128221754
2700000.0,476.0,6,Ariana,House,14.80876270134486,6.1675164908883415
365000.0,105.0,2,Nabeul,Appart,12.807655372286902,4.663439094112067
563644.0,135.0,2,Sousse,Appart,13.242179899680204,4.912654885736052
514701.0,115.0,2,Sousse,Appart,13.151343371391992,4.7535901911063645
506961.0,116.0,2,Sousse,Appart,13.136191329074041,4.762173934797756
342775.0,74.0,1,Sousse,Appart,12.74483245158622,4.31748811353631
415524.0,107.0,2,Sousse,Appart,12.93729805993931,4.68213122712422
604877.0,150.0,3,Sousse,Appart,13.312782063785738,5.017279836814924
298230.0,67.0,1,Sousse,Appart,12.6056236329854,4.219507705176107
426690.0,112.0,2,Sousse,Appart,12.96381537685147,4.727387818712341
330810.0,73.0,1,Sousse,Appart,12.709302494299491,4.30406509320417
309900.0,96.0,2,Ariana,Appart,12.644008170618003,4.574710978503383
650000.0,300.0,10,Ariana,Appart,13.384729180332174,5.707110264748875
340000.0,157.0,3,Ariana,Appart,12.73670383776449,5.062595033026967
490000.0,179.0,3,Ariana,Appart,13.102162710901053,5.19295685089021
450000.0,338.0,2,Ariana,House,13.017005083966255,5.82600010738045
1800000.0,751.0,5,Ariana,House,14.403297778421795,6.62273632394984
235000.0,121.0,2,Manouba,Appart,12.367345048436391,4.804021044733257
360000.0,174.0,4,Tunis,Appart,12.793862088206213,5.1647859739235145
2200000.0,500.0,5,Ariana,House,14.603968372873895,6.2166061010848646
1150000.0,450.0,7,Ariana,House,13.955273369904273,6.111467339502679
145000.0,64.0,3,Ben Arous,Appart,11.884495917930655,4.174387269895637
300000.0,127.0,2,Tunis,Appart,12.611541086966115,4.852030263919617
285000.0,83.0,2,Tunis,Appart,12.560247968016562,4.430816798843313
720000.0,160.0,3,Tunis,Appart,13.487007879880162,5.081404364984463
576000.0,118.0,2,Tunis,Appart,13.263864675787632,4.77912349311153
622000.0,136.0,3,Tunis,Appart,13.340696979437066,4.919980925828125
316100.0,104.0,1,Ariana,Appart,12.663817061754543,4.653960350157523
375200.0,137.0,2,Ariana,Appart,12.835217161355857,4.927253685157205
2700000.0,500.0,1,Tunis,House,14.80876270134486,6.2166061010848646
720000.0,219.0,4,Nabeul,House,13.487007879880162,5.393627546352362
560000.0,270.0,4,Nabeul,House,13.235693848424024,5.602118820879701
350000.0,210.0,3,Nabeul,Appart,12.765691290604371,5.351858133476067
145000.0,101.0,1,Ariana,House,11.884495917930655,4.624972813284271
750000.0,230.0,3,Nabeul,House,13.527829818844937,5.442417710521793
538000.0,163.0,3,Ariana,Appart,13.195615697878253,5.099866427824199
295000.0,100.0,2,Tunis,House,12.59473402514672,4.61512051684126
235000.0,107.0,2,Tunis,Appart,12.367345048436391,4.68213122712422
1300000.0,440.0,3,Tunis,House,14.077875591662238,6.089044875446846
526000.0,104.0,2,Nabeul,Appart,13.173058392858724,4.653960350157523
390000.0,140.0,3,Ariana,Appart,12.873904582205107,4.948759890378168
395000.0,150.0,4,Ariana,Appart,12.886643575525625,5.017279836814924
650000.0,105.0,2,Tunis,House,13.384729180332174,4.663439094112067
580000.0,139.0,3,Tunis,Appart,13.270785106659046,4.941642422609304
