chambres,prix,source,surface,titre,type_bien,type_transaction,ville
2,285000.0,mubawab,83.0,Find an apartment to buy in Bhar Lazreg. Small area 83 m².,Appart,À Vendre,La Marsa
3,720000.0,mubawab,160.0,"Sale of a lovely apartment in Les Jardins de Carthage. Area 160 m². With Lift, Balcony.",Appart,À Vendre,Le Kram
2,576000.0,mubawab,118.0,Apartment for sale in Les Jardins de Carthage. 2 lovely rooms.,Appart,À Vendre,Le Kram
3,622000.0,mubawab,136.0,Apartment for sale in Les Jardins de Carthage. 3 lovely rooms.,Appart,À Vendre,Le Kram
1,316100.0,mubawab,104.0,Sale of a lovely apartment in Cité el Ghazela. 2 large living areas. Beautiful terrace and garden,Appart,À Vendre,Raoued
2,375200.0,mubawab,137.0,Find an apartment to buy in Cité el Ghazela. Area 137 m². Reinforced door and secured residence,Appart,À Vendre,Raoued
3,600000.0,mubawab,185.0,"Find an apartment to buy in Chotrana 1.3 rooms. Caretaker service available, General air conditioning",Appart,À Vendre,La Soukra
3,693494.0,mubawab,162.0,"Find an apartment to buy in Chotrana 3.3 rooms. Caretaker service available, air conditioning",Appart,À Vendre,La Soukra
1,2700000.0,mubawab,500.0,"Find your house to buy in Amilcar. Surface area 500 m². Large swimming pool, General air conditioning",House,À Vendre,Carthage
4,720000.0,mubawab,219.0,Find your house to buy in Cité El Wafa. Surface area 219 m². Property with swimming pool,House,À Vendre,Nabeul
4,560000.0,mubawab,270.0,High quality villa for sale in Hammamet. Area 270 m². Swimming pool,House,À Vendre,Hammamet
3,350000.0,mubawab,210.0,Sale of a lovely apartment in Nabeul. 3 rooms,Appart,À Vendre,Nabeul
1,145000.0,mubawab,101.0,"Beautiful house for sale in Cité Ennour Jaafar. 1 room. Green areas, Balcony",House,À Vendre,Raoued
3,750000.0,mubawab,230.0,Luxury Villa for sale in Hammamet. 3 lovely rooms. Garden and terrace,House,À Vendre,Hammamet
3,538000.0,mubawab,163.0,Find an apartment to buy in Cité el Ghazela. 3 beautiful rooms. Green areas and lift,Appart,À Vendre,Raoued
2,295000.0,mubawab,100.0,Home to buy in Sidi Hassine. 3 rooms. Garage and terrace,House,À Vendre,Sidi Hassine
2,235000.0,mubawab,107.0,Fabulous apartment for sale in Ain Zaghouan Sud. Surface area 107 m². Air conditioning system,Appart,À Vendre,La Marsa
3,285000.0,mubawab,116.0,Beautiful apartment for sale in La Soukra. 3 lovely rooms. Equipped kitchen,Appart,À Vendre,La Soukra
3,1300000.0,mubawab,440.0,House for sale in Sidi Bechir. 3 beautiful rooms. Equipped kitchen,House,À Vendre,Tunis
2,526000.0,mubawab,104.0,Fabulous apartment for sale in Sidi El Mahrsi. 3 rooms. Carpark and terrace,Appart,À Vendre,Nabeul
3,390000.0,mubawab,140.0,Sell apartment in El Menzah 1. Dimension 140 m². Reinforced door and central heating,Appart,À Vendre,El Menzah
4,395000.0,mubawab,150.0,"Sell apartment in El Manar 2.4 beautiful rooms. With Lift, Balcony",Appart,À Vendre,El Menzah
4,1250000.0,mubawab,260.0,Home to buy in La Soukra. 4 rooms. Garage and terrace,House,À Vendre,La Soukra
3,520000.0,mubawab,149.0,Beautiful apartment for sale in La Soukra. 3 beautiful rooms. Garage,Appart,À Vendre,La Soukra
2,650000.0,mubawab,105.0,Luxury Villa for sale in Les Berges Du Lac 2. Dimension 105 m². Well equipped kitchen.,House,À Vendre,La Marsa
3,1200000.0,mubawab,330.0,"Luxury Villa for sale in La Soukra. 5 comfortable rooms. Large swimming pool, General air conditioning.",House,À Vendre,La Soukra
3,580000.0,mubawab,139.0,Sale of a lovely apartment in Ain Zaghouan Nord. 3 rooms. Fully equipped kitchen,Appart,À Vendre,La Marsa
4,380000.0,mubawab,140.0,Apartment for sale in Dar Fadhal. Small area 140 m². Garage and terrace,Appart,À Vendre,La Soukra
3,1100000.0,mubawab,350.0,High quality house for sale in Hammamet Sud. Dimension 350 m². Furnishings,House,À Vendre,Hammamet
4,1050000.0,mubawab,280.0,Luxury home for sale in Hammamet. 4 large living areas. Swimming pool and air conditioning,House,À Vendre,Hammamet
